Institution Name;English Institution Name;Country Code;Institution Category - English;Name of the city;Geographic coordinates - latitude;Geographic coordinates - longitude;Total students enrolled ISCED 5-7
"Kolegji Universitar ""REALD""";"University College ""REALD""";AL;university college;Vlorë;40,466917;19,481707;337
"Kolegji Universitar ""Instituti Kanadez i Teknologjisë""";"University College ""Canadian Institute of Technology""";AL;university college;Tirana;41,3275;19,81889;415
Kolegji Profesional i Tiranës;Professional College of Tirana;AL;higher vocational college;Tirana;41,3275;19,81889;342
Qendra e Studimeve Albanologjike;Center of Albanological Studies;AL;academy;Tirana;41,317985;19,821756;0
Universität Wien;University of Vienna;AT;Public university;Vienna;48,213008;16,360939;74010,586923095
Universität Graz;University of Graz;AT;Public university;Graz;47,077783;15,449916;23722,784468774
Universität Innsbruck;University of Innsbruck;AT;Public university;Innsbruck;47,263299;11,383684;23822,697242572
Universität Salzburg;University of Salzburg;AT;Public university;Salzburg;47,788325;13,060472;14020,008047265
Technische Universität Wien;Vienna University of Technology;AT;Public university;Vienna;48,198754;16,3679;24471,963033391
Technische Universität Graz;Graz University of Technology;AT;Public university;Graz;47,069156;15,450313;11528,092965368
Montanuniversität Leoben;University of Mining Leoben;AT;Public university;Leoben;47,384744;15,093039;3377,356349206
Universität für Bodenkultur Wien;University of Natural Resources and Life Sciences, Vienna;AT;Public university;Vienna;48,236531;16,337559;10114,979274892
Veterinärmedizinische Universität Wien;University of Veterinary Medicine Vienna;AT;Public university;Vienna;48,254179;16,430152;1724,702380952
Wirtschaftsuniversität Wien;Vienna University of Economics and Business;AT;Public university;Vienna;48,213451;16,408475;19770,874840845
Universität Linz;University of Linz;AT;Public university;Linz;48,336584;14,319275;16133,252657528
Universität Klagenfurt;University of Klagenfurt;AT;Public university;Klagenfurt;46,616655;14,264863;8127,367566693
Universität für Weiterbildung Krems;Danube University Krems;AT;Public university;Krems an der Donau;48,408152;15,586256;8471,861904762
Medizinische Universität Wien;Medical University of Vienna;AT;Public university;Vienna;48,220412;16,351584;5369,281203008
Medizinische Universität Graz;Medical University of Graz;AT;Public university;Graz;47,080202;15,471401;3217,004761905
Medizinische Universität Innsbruck;Medical University of Innsbruck;AT;Public university;Innsbruck;47,262948;11,384298;2505,416603535
Akademie der bildenden Künste Wien;Academy of Fine Arts Vienna;AT;Public university;Vienna;48,201261;16,365088;1033,288888889
Universität für angewandte Kunst Wien;University of Applied Arts Vienna;AT;Public university;Vienna;48,208323;16,382339;1153,202020202
Universität für Musik und darstellende Kunst Wien;University of Music and Performing Arts in Vienna;AT;Public university;Vienna;48,20185;16,384875;1973,18452381
