Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
České vysoké učení technické v Praze;Czech Technical University in Prague;CZ;university;17248;1891
Janáčkova akademie múzických umění v Brně;Janáček Academy of Music and Performing Arts in Brno;CZ;university;653;61
Jihočeská univerzita v Českých Budějovicích;University of South Bohemia in České Budějovice;CZ;university;9541;573
Masarykova univerzita;Masaryk University;CZ;university;29197;3068
Mendelova univerzita v Brně;Mendel University in Brno;CZ;university;8736;430
Ostravská univerzita;University of Ostrava;CZ;university;8256;432
Slezská univerzita v Opavě;Silesian University in Opava;CZ;university;4844;170
Technická univerzita v Liberci;Technical University of Liberec;CZ;university;5865;318
Univerzita Hradec Králové;University of Hradec Králové;CZ;university;6394;223
Univerzita J. E. Purkyně v Ústí nad Labem;University of J. E. Purkyně in Ústí nad Labem;CZ;university;7760;237
Univerzita Karlova;Charles University;CZ;university;39786;7166
Univerzita Palackého v Olomouci;Palacký University, Olomouc;CZ;university;18773;1699
Univerzita Pardubice;University of Pardubice;CZ;university;7242;466
Univerzita Tomáše Bati ve Zlíně;Tomas Bata University in Zlín;CZ;university;8583;416
Veterinární a farmaceutická univerzita Brno;University of Veterinary and Pharmaceutical Sciences, Brno;CZ;university;2695;235
Vysoká škola báňská - Technická univerzita Ostrava;VŠB – Technical University of Ostrava;CZ;university;13031;1173
Vysoká škola ekonomická v Praze;University of Economics, Prague;CZ;university;14215;523
Vysoká škola chemicko-technologická v Praze;University of Chemistry and Technology, Prague;CZ;university;3253;787
Vysoká škola polytechnická Jihlava;College of Polytechnics, Jihlava;CZ;non-university;2185;a
Vysoká škola technická a ekonomická v Českých Budějovicích;Institute of Technology and Business in České Budějovice;CZ;non-university;3900;a
Vysoká škola umělecko-průmyslová v Praze;Academy of Arts, Architecture and Design in Prague;CZ;university;452;29
Vysoké učení technické v Brně;Brno University of Technology;CZ;university;18356;1664
Západočeská univerzita v Plzni;University of West Bohemia in Pilsen;CZ;university;10304;647
Bankovní institut vysoká škola, a.s.;Banking Institute/College of Business;CZ;non-university;543;a
Evropský polytechnický institut, s.r.o.;European Polytechnical Institute, Ltd. – Kunovice Campus;CZ;non-university;196;a
