Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
Vysoká škola hotelová v Praze 8, s.r.o.;Institute of Hospitality Management in Prague 8, Ltd.;CZ;non-university;1332;a
ŠKODA AUTO VYSOKÁ ŠKOLA o.p.s.;Škoda Auto University;CZ;non-university;1027;a
Soukromá vysoká škola ekonomických studií, s.r.o.;Private College of Economic Studies, Ltd.;CZ;non-university;218;a
Vysoká škola obchodní v Praze, o.p.s.;College of Business in Prague;CZ;non-university;2500;a
Akademie STING, o.p.s.;STING Academy, Brno;CZ;non-university;514;a
Metropolitní univerzita v Praze, o.p.s.;Metropolitan University, Prague;CZ;university;4541;46
Univerzita Jana Amose Komenského Praha, s.r.o.;Jan Amos Komensky University, Prague;CZ;university;2577;22
Vysoká škola Karla Engliše v Brně, a.s.;Karel Englis College, Brno;CZ;non-university;398;a
Anglo-americká vysoká škola, z.ú.;Anglo-American University;CZ;non-university;514;a
Pražská vysoká škola psychosociálních studií, s.r.o.;Prague College of Psychosocial Studies;CZ;non-university;400;a
Vysoká škola aplikovaného práva, s.r.o.;University of Applied Law s.r.o, Prague;CZ;non-university;s;a
Vysoká škola ekonomie a managementu, o.p.s.;University of Economics and Management;CZ;non-university;2246;a
University of New York in Prague, s.r.o.;University of New York in Prague, s.r.o.;CZ;non-university;521;a
Vysoká škola mezinárodních a veřejných vztahů Praha, o.p.s.;University College of International and Public Relations, Prague;CZ;non-university;732;a
Západomoravská vysoká škola Třebíč, o.p.s.;Westmoravian College, Třebíč;CZ;non-university;7;a
Academia Rerum Civilium - Vysoká škola politických a společenských věd, s.r.o.;Academia Rerum Civilium – School of Political and Social Sciences, Kolín;CZ;non-university;285;a
Vysoká škola evropských a regionálních studií, o.p.s.;College of European and Regional Studies;CZ;non-university;351;a
Vysoká škola regionálního rozvoje, s.r.o.;College of Regional Development;CZ;non-university;1294;a
Filmová akademi Miroslava Ondříčka v Písku, o.p.s.;Film Academy of Miroslav Ondříček in Písek;CZ;non-university;128;a
Vysoká škola tělesné výchovy a sportu Palestra, s.r.o.;College of Physical Education and Sport Palestra;CZ;non-university;529;a
NEWTON College, a.s.;NEWTON College;CZ;non-university;873;a
Vysoká škola logistiky, o.p.s.;College of Logistics;CZ;non-university;733;a
Vysoká škola zdravotnická, o.p.s.;The College of Nursing;CZ;non-university;629;a
B.I.B.S., a.s.;Brno International Business School;CZ;non-university;197;a
Soukromá vysoká škola ekonomická Znojmo, s.r.o.;Private College of Economic Studies Znojmo, Ltd.;CZ;non-university;485;a
Moravská vysoká škola Olomouc, o.p.s.;Moravian College Olomouc;CZ;non-university;280;a
Vysoká škola obchodní a hotelová, s.r.o.;College of Tourism and Hotel Management;CZ;non-university;303;a
CEVRO Institut, o.p.s.;CEVRO Institute /School of Political Studies;CZ;non-university;788;a
Unicorn College s.r.o.;Unicorn College s.r.o.;CZ;non-university;334;a
Vysoká škola sociálně-správní, Institut celoživotního vzdělávání Havířov, o.p.s.;Social-Administrative College. Institute of Lifelong Learning, Havířov;CZ;non-university;251;a
AKCENT College, s.r.o.;AKCENT College;CZ;non-university;97;a
Policejní akademie České republiky v Praze;Police Academy of the Czech Republic in Prague;CZ;university;2319;69
Univerzita obrany v Brně;University of Defence;CZ;university;1551;289
ARCHIP, s.r.o.;ARCHIP, s.r.o.;CZ;non-university;70;a
Vysoká škola aplikované psychologie, s.r.o.;College of Applied Psychology;CZ;non-university;121;a
ART & DESIGN INSTITUT, s.r.o.;ART & DESIGN INSTITUT, s.r.o.;CZ;non-university;128;a
Vysoká škola podnikání a práva;College of Entrepreneurship and Law;CZ;non-university;1445;a
Vysoká škola kreativní komunikace, s.r.o.;University of Creative Communication Prague;CZ;non-university;50;a
Vysoká škola finanční a správní, a.s.;University of Finance and Administration;CZ;m;3798;19
Albert-Ludwigs-Universität Freiburg;University of Freiburg;DE;university ;23734;1294
Ruprecht-Karls-Universität Heidelberg;Heidelberg University;DE;university ;27094;2646
Universität Hohenheim;University of Hohenheim;DE;university ;9083;404
Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Karlsruhe Institute of Technology;DE;university ;24528;556
Universität Konstanz;University of Konstanz;DE;university ;10853;699
Universität Mannheim;University of Mannheim;DE;university ;11650;150
Universität Stuttgart;University of Stuttgart;DE;university ;25686;1680
Eberhard Karls Universität Tübingen;Tübingen University;DE;university ;26041;1994
Universität Ulm;Ulm University;DE;university ;9663;867
Zeppelin Universität Friedrichshafen (Priv. H);Zeppelin University Friedrichshafen (Priv. H);DE;university ;1023;81
Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik;Freie Hochschule Stuttgart - Seminar for Waldorf Pedagogy;DE;university ;268;a
Hochschule für jüdische Studien Heidelberg;Hochschule für jüdische Studien Heidelberg;DE;university ;100;8
Universität Augsburg;University of Augsburg;DE;university ;19590;423
Otto-Friedrich-Universität Bamberg;University of Bamberg;DE;university ;12334;196
Universität Bayreuth;University of Bayreuth;DE;university ;12304;483
Katholische Universität Eichstätt-Ingolstadt (KU);Catholic University of Eichstätt-Ingolstadt;DE;university ;5109;114
Friedrich-Alexander-Universität Erlangen-Nürnberg;University of Erlangen-Nürnberg;DE;university ;37496;1182
Ludwig-Maximilians-Universität München;Ludwig Maximilian University of Munich;DE;university ;47496;3499
Technische Universität München;Technical University of Munich;DE;university ;37110;2477
Universität der Bundeswehr München;Bundeswehr University Munich;DE;university ;3025;0
Hochschule für Politik München;Bavarian School of Public Policy;DE;university ;266;0
Universität Passau;University of Passau;DE;university ;11469;302
Universität Regensburg;University of Regensburg;DE;university ;19816;593
Julius-Maximilians-Universität Würzburg;University of Würzburg;DE;university ;26732;1403
Freie Universität Berlin;Free University of Berlin;DE;university ;31899;4338
Technische Universität Berlin;Technical University of Berlin;DE;university ;31475;2603
Humboldt-Universität zu Berlin;Humboldt University of Berlin;DE;university ;30716;3536
ESCP-EAP Europäische Wirtschaftshochschule Berlin;ESCP-EAP European School of Management;DE;university ;120;53
European School of Management and Technology, Berlin (Priv. H);European School of Management and Technology, Berlin;DE;university ;275;a
Hertie School of Governance Berlin (Priv. wiss. H);Hertie School of Governance;DE;university ;405;48
Steinbeis-Hochschule Berlin (Priv. H);Steinbeis University Berlin;DE;university ;6878;42
Europa-Universität Viadrina Frankfurt (Oder);Viadrina European University;DE;university ;6346;363
Universität Potsdam;University of Potsdam;DE;university ;18670;1767
Universität Bremen;University of Bremen;DE;university ;17975;1129
Jacobs University Bremen (Priv. H);Jacobs University Bremen;DE;university ;891;318
Universität Hamburg;University of Hamburg;DE;university ;37966;4406
Technische Universität Hamburg-Harburg;Hamburg University of Technology;DE;university ;7462;104
Hafencity Universität Hamburg;HafenCity University Hamburg;DE;university ;2305;118
Helmut-Schmidt-Universität Hamburg;Helmut Schmidt University of the Federal Armed Forces Hamburg;DE;university ;2435;a
Bucerius Law School Hamburg (Priv. H);Bucerius Law School;DE;university ;612;241
Technische Universität Darmstadt;Technical University of Darmstadt;DE;university ;24884;1478
Johann Wolfgang Goethe-Universität Frankfurt am Main;Frankfurt University;DE;university ;43510;2306
Justus-Liebig-Universität Gießen;Justus Liebig University Giessen;DE;university ;27308;1075
Universität Kassel;University of Kassel;DE;university ;24533;306
Philipps-Universität Marburg;Philipps University of Marburg;DE;university ;24750;1192
Frankfurt School of Finance & Management-HfB (Priv. H);Frankfurt School of Finance & Management-HfB (Priv. H);DE;university ;xr;xr
EBS Universität für Wirtschaft und Recht (Priv.);EBS University of Business and Law;DE;university ;2089;134
Ernst-Moritz-Arndt-Universität Greifswald;Ernst Moritz Arndt University of Greifswald;DE;university ;9703;711
Universität Rostock;University of Rostock;DE;university ;12567;1300
Technische Universität Carolo-Wilhelmina zu Braunschweig;Brunswick University of Technology;DE;university ;18606;1423
Technische Universität Clausthal;Clausthal University of Technology;DE;university ;4221;498
Georg-August-Universität Göttingen;Georg August Göttingen University;DE;university ;26979;3744
Gottfried Wilhelm Leibniz Universität Hannover;University of Hannover;DE;university ;25419;2172
Medizinische Hochschule Hannover;Hannover Medical School;DE;university;2928;495
Tierärztliche Hochschule Hannover;University of Veterinary Medicine Hannover;DE;university ;1632;726
Stiftung Universität Hildesheim;University of Hildesheim;DE;university ;7630;236
Leuphana Universität Lüneburg;Leuphana University of Lüneburg;DE;university ;9052;558
Carl von Ossietzky Universität Oldenburg;Carl von Ossietzky the University of Oldenburg;DE;university ;13838;872
Universität Osnabrück;Osnabrück University;DE;university ;13237;758
Universität Vechta;University of Vechta;DE;university ;5191;159
RWTH Aachen;Aachen University;DE;university ;39843;4703
Universität Bielefeld;Bielefeld University;DE;university ;22938;1490
Ruhr-Universität Bochum;Ruhr-University Bochum;DE;university ;38716;3747
Rheinische Friedrich-Wilhelms-Universität Bonn;University of Bonn;DE;university ;32626;3806
Technische Universität Dortmund;TU Dortmund University;DE;university ;31621;1972
Heinrich-Heine-Universität Düsseldorf;Heinrich Heine University Düsseldorf;DE;university ;31771;1945
Universität Duisburg-Essen;University of Duisburg-Essen;DE;university ;41321;1960
Fernuniversität in Hagen;University of Hagen;DE;university ;68007;422
Universität zu Köln;University of Cologne;DE;university ;49804;3333
Deutsche Sporthochschule Köln;German Sport University Cologne;DE;university ;5353;429
Westfälische Wilhelms-Universität Münster;University of Münster;DE;university ;39582;4434
Universität Paderborn;University of Paderborn;DE;university ;19531;785
Universität Siegen;University of Siegen;DE;university ;19006;779
Bergische Universität Wuppertal;University of Wuppertal;DE;university ;20978;938
Universität Witten/Herdecke;University Witten/Herdecke;DE;university ;1934;409
