uni1,uni2,weight
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI PALERMO,84
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI CATANIA,84
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI SIENA,84
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,84
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,84
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI FERRARA,84
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA CA FOSCARI VENEZIA,84
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,84
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,84
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,83
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,83
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI MILANO,83
UNIVERSITA DEGLI STUDI DI FERRARA,UNIVERSITA DEGLI STUDI DI MILANO,83
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,83
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI SIENA,83
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI UDINE,83
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,83
UNIVERSITA DI PISA,UNIVERSITA CATTOLICA DEL SACRO CUORE,83
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,83
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI FERRARA,83
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,82
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI TRIESTE,82
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI PERUGIA,82
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI SALERNO,82
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI TRENTO,81
POLITECNICO DI MILANO,UNIVERSITA DI PISA,81
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI VERONA,81
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI SALERNO,81
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI ROMA TRE,81
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI PALERMO,81
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI GENOVA,81
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI SIENA,81
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI UDINE,81
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI PERUGIA,80
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI DI TORINO,80
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI GENOVA,80
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI CATANIA,80
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,80
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI FERRARA,80
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI FERRARA,79
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI PERUGIA,79
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI PALERMO,79
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI CATANIA,79
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,79
UNIVERSITA POLITECNICA DELLE MARCHE,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,78
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,78
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI FIRENZE,78
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,78
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI TRIESTE,78
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI TRIESTE,78
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI PERUGIA,77
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA CATTOLICA DEL SACRO CUORE,77
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,77
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,UNIVERSITA DEGLI STUDI DI FIRENZE,77
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI FERRARA,77
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,77
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,77
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,77
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI PALERMO,77
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI PALERMO,77
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,76
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,76
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,76
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,76
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,76
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,76
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA DEGLI STUDI DI PERUGIA,76
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI UDINE,76
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEL SALENTO,76
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,76
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,76
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,76
UNIVERSITA DEGLI STUDI DI TRENTO,POLITECNICO DI MILANO,76
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI BERGAMO,76
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI PAVIA,76
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA CA FOSCARI VENEZIA,75
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI PAVIA,75
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI TRIESTE,75
UNIVERSITA DEGLI STUDI DI TRIESTE,UNIVERSITA DEGLI STUDI DI PERUGIA,75
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI UDINE,75
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI CATANIA,75
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,75
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,74
UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,UNIVERSITA DEGLI STUDI DI FIRENZE,74
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI CATANIA,74
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,74
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,74
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA DEGLI STUDI DI SIENA,74
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI MACERATA,74
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI PERUGIA,74
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,74
UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,UNIVERSITA DEGLI STUDI DI MILANO,74
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,UNIVERSITA DEGLI STUDI DI MILANO,74
UNIVERSITA DEGLI STUDI DI FIRENZE,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,73
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEL SALENTO,73
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI GENOVA,73
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI CATANIA,73
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI CAGLIARI,73
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI CAGLIARI,73
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI SALERNO,73
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA CATTOLICA DEL SACRO CUORE,73
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI FERRARA,73
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,73
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,73
UNIVERSITA POLITECNICA DELLE MARCHE,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,72
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI TORINO,72
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,72
POLITECNICO DI TORINO,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,72
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI CATANIA,72
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI CATANIA,72
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,72
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI SIENA,72
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,72
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA CATTOLICA DEL SACRO CUORE,72
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA CATTOLICA DEL SACRO CUORE,71
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA CATTOLICA DEL SACRO CUORE,71
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA CATTOLICA DEL SACRO CUORE,71
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI FERRARA,71
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI MILANO,71
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,71
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI CAGLIARI,71
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,UNIVERSITA DEGLI STUDI ROMA TRE,71
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI CATANIA,71
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI FOGGIA,71
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI TRIESTE,71
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI TRIESTE,71
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,70
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,70
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA CATTOLICA DEL SACRO CUORE,70
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI FERRARA,70
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA DEGLI STUDI DI FERRARA,70
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEL SALENTO,70
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,POLITECNICO DI MILANO,70
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,70
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI CAGLIARI,69
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI PAVIA,69
UNIVERSITA DEGLI STUDI DI TRIESTE,UNIVERSITA CATTOLICA DEL SACRO CUORE,69
UNIVERSITA DEGLI STUDI DI TRIESTE,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,69
UNIVERSITA CATTOLICA DEL SACRO CUORE,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,69
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI DI FIRENZE,69
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI FERRARA,69
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI FERRARA,69
UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,69
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI UDINE,69
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,UNIVERSITA DEGLI STUDI DI MILANO,69
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI CATANIA,69
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,68
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI PALERMO,68
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI PALERMO,68
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,68
POLITECNICO DI MILANO,UNIVERSITA CA FOSCARI VENEZIA,68
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI PARMA,68
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI VERONA,68
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI VERONA,68
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,68
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA CATTOLICA DEL SACRO CUORE,67
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,UNIVERSITA DEGLI STUDI DI FIRENZE,67
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI PARMA,67
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI PARMA,67
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI CATANIA,67
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA COMMERCIALE LUIGI BOCCONI,67
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,67
UNIVERSITA DEGLI STUDI DI FIRENZE,UNIVERSITA DEL SALENTO,67
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI TRIESTE,67
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI UDINE,67
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI UDINE,66
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI SASSARI,66
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,66
UNIVERSITA DEGLI STUDI DI PADOVA,LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,66
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,66
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI FERRARA,66
UNIVERSITA CATTOLICA DEL SACRO CUORE,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,66
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI GENOVA,66
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,65
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA CATTOLICA DEL SACRO CUORE,65
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,65
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,UNIVERSITA DEGLI STUDI DI FIRENZE,65
POLITECNICO DI TORINO,UNIVERSITA DEGLI STUDI DI FIRENZE,65
UNIVERSITA DEGLI STUDI DI TRIESTE,UNIVERSITA DEGLI STUDI DI FERRARA,65
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI MACERATA,65
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI UDINE,65
UNIVERSITA IUAV DI VENEZIA,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,65
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI SALERNO,65
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,65
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,65
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,65
UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,UNIVERSITA DEGLI STUDI DI MILANO,65
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEL SALENTO,65
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,64
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEL SALENTO,64
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI MACERATA,64
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI TRIESTE,64
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI TRIESTE,64
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,UNIVERSITA DEGLI STUDI DI GENOVA,64
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,64
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI SIENA,64
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI UDINE,64
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,64
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,64
UNIVERSITA POLITECNICA DELLE MARCHE,UNIVERSITA DEGLI STUDI DI FIRENZE,64
UNIVERSITA DEGLI STUDI DI MACERATA,UNIVERSITA DEGLI STUDI DI FIRENZE,64
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI FERRARA,64
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA DEGLI STUDI DI FERRARA,64
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,64
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI VERONA,64
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,UNIVERSITA DEGLI STUDI DI VERONA,64
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,64
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI PAVIA,63
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI SALERNO,63
UNIVERSITA DEGLI STUDI DI PADOVA,LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,63
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,63
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,63
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,63
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,63
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,63
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI DI MILANO,63
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI MACERATA,63
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI FOGGIA,63
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI PERUGIA,63
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,UNIVERSITA DEGLI STUDI DI PERUGIA,63
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,63
UNIVERSITA DEGLI STUDI DI TRIESTE,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,63
POLITECNICO DI MILANO,UNIVERSITA CATTOLICA DEL SACRO CUORE,63
UNIVERSITA DEGLI STUDI DI UDINE,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,63
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA CATTOLICA DEL SACRO CUORE,62
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA POLITECNICA DELLE MARCHE,62
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI PARMA,62
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI PARMA,62
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,UNIVERSITA DEGLI STUDI DI SALERNO,62
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI ROMA TRE,62
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,62
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI SIENA,62
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI TRIESTE,62
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI UDINE,62
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA DEGLI STUDI DI TRIESTE,61
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI PERUGIA,61
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,61
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA DEGLI STUDI DI UDINE,61
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,UNIVERSITA CATTOLICA DEL SACRO CUORE,61
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI FERRARA,61
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,UNIVERSITA DEGLI STUDI DI FERRARA,61
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,61
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI MESSINA,61
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,UNIVERSITA COMMERCIALE LUIGI BOCCONI,61
UNIVERSITA DEGLI STUDI DI TRIESTE,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,61
UNIVERSITA IUAV DI VENEZIA,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,60
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,60
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI SALERNO,60
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI ROMA TRE,60
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI MACERATA,60
